"NGenes"	"Direction"	"PValue"	"FDR"
"HALLMARK_E2F_TARGETS"	596	"Down"	1.45666626049903e-06	7.28333130249513e-05
"HALLMARK_MYC_TARGETS_V1"	609	"Down"	6.84380464291857e-06	0.000171095116072964
"HALLMARK_G2M_CHECKPOINT"	708	"Down"	0.000138605313105895	0.00231008855176492
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION"	638	"Up"	0.000254558052369466	0.00277179941535638
"HALLMARK_COAGULATION"	364	"Up"	0.000277179941535638	0.00277179941535638
"HALLMARK_IL6_JAK_STAT3_SIGNALING"	209	"Up"	0.00125820492191242	0.0104850410159368
"HALLMARK_MYOGENESIS"	692	"Up"	0.0027179948866918	0.0194142491906557
"HALLMARK_INTERFERON_ALPHA_RESPONSE"	256	"Up"	0.00850984299946736	0.053186518746671
"HALLMARK_INTERFERON_GAMMA_RESPONSE"	519	"Up"	0.0106307318980484	0.0545850454400192
"HALLMARK_HYPOXIA"	648	"Up"	0.0109170090880038	0.0545850454400192
"HALLMARK_INFLAMMATORY_RESPONSE"	551	"Up"	0.0218976146770864	0.0929575311976678
"HALLMARK_TNFA_SIGNALING_VIA_NFKB"	529	"Up"	0.0223098074874403	0.0929575311976678
"HALLMARK_COMPLEMENT"	648	"Up"	0.0255517052200615	0.0982757893079289
"HALLMARK_ALLOGRAFT_REJECTION"	553	"Up"	0.0366437847208857	0.130870659717449
"HALLMARK_MYC_TARGETS_V2"	128	"Down"	0.0465080904186286	0.155026968062095
"HALLMARK_UV_RESPONSE_DN"	751	"Up"	0.0530481352347648	0.16577542260864
"HALLMARK_WNT_BETA_CATENIN_SIGNALING"	151	"Up"	0.0705483985737711	0.197149800211052
"HALLMARK_BILE_ACID_METABOLISM"	267	"Up"	0.0709739280759786	0.197149800211052
"HALLMARK_XENOBIOTIC_METABOLISM"	563	"Up"	0.0836028783818017	0.220007574688952
"HALLMARK_ADIPOGENESIS"	638	"Up"	0.0915578094089216	0.228894523522304
"HALLMARK_HEDGEHOG_SIGNALING"	135	"Up"	0.115607010435211	0.275254786750502
"HALLMARK_UV_RESPONSE_UP"	610	"Up"	0.125786911649897	0.285879344658856
"HALLMARK_KRAS_SIGNALING_UP"	629	"Up"	0.139802552724074	0.297295543999109
"HALLMARK_IL2_STAT5_SIGNALING"	625	"Up"	0.142701861119572	0.297295543999109
"HALLMARK_ANGIOGENESIS"	157	"Up"	0.151695551711803	0.303391103423605
"HALLMARK_OXIDATIVE_PHOSPHORYLATION"	455	"Down"	0.176860307867412	0.328268798468047
"HALLMARK_APICAL_JUNCTION"	729	"Up"	0.177265151172745	0.328268798468047
"HALLMARK_DNA_REPAIR"	376	"Down"	0.244017026516785	0.416250684091908
"HALLMARK_HEME_METABOLISM"	628	"Up"	0.244909482221645	0.416250684091908
"HALLMARK_NOTCH_SIGNALING"	115	"Up"	0.252332135336367	0.416250684091908
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE"	348	"Down"	0.26549842744594	0.416250684091908
"HALLMARK_MTORC1_SIGNALING"	633	"Down"	0.271719492384486	0.416250684091908
"HALLMARK_APOPTOSIS"	476	"Up"	0.274725451500659	0.416250684091908
"HALLMARK_APICAL_SURFACE"	149	"Up"	0.299076463578736	0.439818328792259
"HALLMARK_KRAS_SIGNALING_DN"	712	"Up"	0.345733645879255	0.493905208398935
"HALLMARK_ESTROGEN_RESPONSE_EARLY"	654	"Up"	0.391261630289801	0.543418930958057
"HALLMARK_P53_PATHWAY"	612	"Up"	0.430182351697331	0.58132750229369
"HALLMARK_PANCREAS_BETA_CELLS"	131	"Up"	0.479900702287016	0.618071171718119
"HALLMARK_CHOLESTEROL_HOMEOSTASIS"	200	"Up"	0.489726024139595	0.618071171718119
"HALLMARK_GLYCOLYSIS"	628	"Up"	0.494456937374495	0.618071171718119
"HALLMARK_ESTROGEN_RESPONSE_LATE"	561	"Up"	0.567544606276366	0.692127568629715
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY"	162	"Up"	0.595492644798818	0.708919815236688
"HALLMARK_MITOTIC_SPINDLE"	805	"Down"	0.626081867498946	0.728002171510402
"HALLMARK_SPERMATOGENESIS"	450	"Down"	0.723873927651934	0.822584008695379
"HALLMARK_PI3K_AKT_MTOR_SIGNALING"	391	"Up"	0.765669001535392	0.850743335039325
"HALLMARK_FATTY_ACID_METABOLISM"	438	"Up"	0.806511523594694	0.876642960429015
"HALLMARK_TGF_BETA_SIGNALING"	234	"Up"	0.824464802927987	0.877090215880837
"HALLMARK_PROTEIN_SECRETION"	327	"Down"	0.851289492909454	0.886759888447348
"HALLMARK_PEROXISOME"	336	"Down"	0.921450009468994	0.940255111703055
"HALLMARK_ANDROGEN_RESPONSE"	396	"Up"	0.990552740860114	0.990552740860114
