"NGenes"	"Up"	"Down"	"Mixed"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB"	529	0.1418	0.8583	1e-04
"HALLMARK_HYPOXIA"	648	0.109	0.8911	0.0065
"HALLMARK_CHOLESTEROL_HOMEOSTASIS"	200	0.2382	0.7619	4e-04
"HALLMARK_MITOTIC_SPINDLE"	805	0.7274	0.2727	0.4104
"HALLMARK_WNT_BETA_CATENIN_SIGNALING"	151	0.0475	0.9526	1e-04
"HALLMARK_TGF_BETA_SIGNALING"	234	0.4452	0.5549	0.0158
"HALLMARK_IL6_JAK_STAT3_SIGNALING"	209	0.0378	0.9623	0.0016
"HALLMARK_DNA_REPAIR"	376	0.6725	0.3276	0.5752
"HALLMARK_G2M_CHECKPOINT"	708	0.8729	0.1272	0.6561
"HALLMARK_APOPTOSIS"	476	0.2062	0.7939	0.0012
"HALLMARK_NOTCH_SIGNALING"	115	0.0617	0.9384	6e-04
"HALLMARK_ADIPOGENESIS"	638	0.1355	0.8646	0.1766
"HALLMARK_ESTROGEN_RESPONSE_EARLY"	654	0.2741	0.726	1e-04
"HALLMARK_ESTROGEN_RESPONSE_LATE"	561	0.0251	0.975	1e-04
"HALLMARK_ANDROGEN_RESPONSE"	396	0.4267	0.5734	0.0014
"HALLMARK_MYOGENESIS"	692	0.0692	0.9309	0.0161
"HALLMARK_PROTEIN_SECRETION"	327	0.5275	0.4726	0.0173
"HALLMARK_INTERFERON_ALPHA_RESPONSE"	256	0.1329	0.8672	0.168
"HALLMARK_INTERFERON_GAMMA_RESPONSE"	519	0.1632	0.8369	0.1773
"HALLMARK_APICAL_JUNCTION"	729	0.0833	0.9168	0.0306
"HALLMARK_APICAL_SURFACE"	149	0.2653	0.7348	0.0066
"HALLMARK_HEDGEHOG_SIGNALING"	135	0.2953	0.7048	0.0993
"HALLMARK_COMPLEMENT"	648	0.0797	0.9204	0.1395
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE"	348	0.7476	0.2525	0.5727
"HALLMARK_PI3K_AKT_MTOR_SIGNALING"	391	0.4623	0.5378	0.0202
"HALLMARK_MTORC1_SIGNALING"	633	0.713	0.2871	0.3361
"HALLMARK_E2F_TARGETS"	596	0.7779	0.2222	0.6039
"HALLMARK_MYC_TARGETS_V1"	609	0.7946	0.2055	0.6988
"HALLMARK_MYC_TARGETS_V2"	128	0.7137	0.2864	0.8296
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION"	638	0.0493	0.9508	0.0067
"HALLMARK_INFLAMMATORY_RESPONSE"	551	0.1178	0.8823	1e-04
"HALLMARK_XENOBIOTIC_METABOLISM"	563	0.0977	0.9024	3e-04
"HALLMARK_FATTY_ACID_METABOLISM"	438	0.3995	0.6006	0.1399
"HALLMARK_OXIDATIVE_PHOSPHORYLATION"	455	0.6382	0.3619	0.7364
"HALLMARK_GLYCOLYSIS"	628	0.3464	0.6537	0.2048
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY"	162	0.3854	0.6147	0.4851
"HALLMARK_P53_PATHWAY"	612	0.2738	0.7263	0.0748
"HALLMARK_UV_RESPONSE_UP"	610	0.0027	0.9974	0.0229
"HALLMARK_UV_RESPONSE_DN"	751	0.2708	0.7293	3e-04
"HALLMARK_ANGIOGENESIS"	157	0.0558	0.9443	1e-04
"HALLMARK_HEME_METABOLISM"	628	0.2574	0.7427	0.0545
"HALLMARK_COAGULATION"	364	0.0077	0.9924	0.0414
"HALLMARK_IL2_STAT5_SIGNALING"	625	0.2578	0.7423	0.0022
"HALLMARK_BILE_ACID_METABOLISM"	267	0.0583	0.9418	0.0328
"HALLMARK_PEROXISOME"	336	0.4289	0.5712	4e-04
"HALLMARK_ALLOGRAFT_REJECTION"	553	0.0597	0.9404	0.0699
"HALLMARK_SPERMATOGENESIS"	450	0.7225	0.2776	0.9343
"HALLMARK_KRAS_SIGNALING_UP"	629	0.1883	0.8118	1e-04
"HALLMARK_KRAS_SIGNALING_DN"	712	0.1624	0.8377	0.2078
"HALLMARK_PANCREAS_BETA_CELLS"	131	0.267	0.7331	0.4197
